DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,THREAD NO.,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,4,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,2,00:00:00.0000396,91,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,4,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000203,88,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,7,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000207,38,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,6,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000387,59,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,7,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000340,37,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,6,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000217,9,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,5,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000396,24,
13/09/2019,00:43:58,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,5,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000359,28,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,2,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000203,29,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,7,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,2,00:00:00.0000411,16,
13/09/2019,00:43:55,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,1,00:00:00.0000415,5,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,3,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000198,85,
